full_path,image_name,dataset,noise,split
/home/lucas/datasets/300W_crop_face/outdoor_009.png,outdoor_009.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_186.png,indoor_186.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_243.png,indoor_243.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_160.png,outdoor_160.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_254.png,outdoor_254.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_270.png,outdoor_270.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_067.png,indoor_067.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_198.png,outdoor_198.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_237.png,indoor_237.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_261.png,outdoor_261.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_299.png,indoor_299.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_002.png,outdoor_002.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_258.png,indoor_258.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_204.png,indoor_204.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_060.png,outdoor_060.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_173.png,outdoor_173.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_061.png,indoor_061.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_256.png,outdoor_256.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_013.png,indoor_013.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_143.png,indoor_143.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_196.png,outdoor_196.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_101.png,outdoor_101.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_096.png,outdoor_096.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_031.png,indoor_031.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_083.png,indoor_083.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_053.png,outdoor_053.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_195.png,outdoor_195.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_088.png,outdoor_088.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_297.png,indoor_297.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_006.png,indoor_006.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_264.png,indoor_264.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_217.png,indoor_217.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_258.png,outdoor_258.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_231.png,indoor_231.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_220.png,outdoor_220.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_041.png,outdoor_041.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_189.png,indoor_189.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_033.png,indoor_033.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_036.png,indoor_036.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_117.png,indoor_117.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_270.png,indoor_270.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/outdoor_017.png,outdoor_017.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_259.png,indoor_259.png,300W,salt_pepper,train
/home/lucas/datasets/300W_crop_face/indoor_191.png,indoor_191.png,300W,salt_pepper,train
